PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1629029,1,Luka Doncic,1610612742,DAL,46,1691,517,1031,0.501,128,361,0.355,376,515,0.73,42,366,408,383,69,24,167,128,1538,1602,2.29,0.41
1628369,2,Jayson Tatum,1610612738,BOS,48,1798,485,1044,0.465,157,448,0.35,366,421,0.869,53,366,419,212,51,36,138,105,1493,1459,1.54,0.37
1628983,3,Shai Gilgeous-Alexander,1610612760,OKC,46,1639,476,933,0.51,46,125,0.368,424,467,0.908,38,181,219,260,76,52,137,119,1422,1392,1.9,0.56
1630162,4,Anthony Edwards,1610612750,MIN,53,1937,474,1019,0.465,148,393,0.377,223,291,0.766,35,288,323,241,90,32,179,135,1319,1213,1.35,0.5
203944,5,Julius Randle,1610612752,NYK,51,1823,425,922,0.461,137,399,0.343,274,367,0.747,118,435,553,206,35,17,139,159,1261,1343,1.48,0.25
203954,6,Joel Embiid,1610612755,PHI,37,1288,417,781,0.534,44,123,0.358,367,431,0.852,68,303,371,155,42,62,138,125,1245,1309,1.12,0.3
203507,7,Giannis Antetokounmpo,1610612749,MIL,39,1302,435,814,0.534,32,117,0.274,336,522,0.644,92,377,469,205,32,33,158,137,1238,1254,1.3,0.2
1629027,8,Trae Young,1610612737,ATL,45,1607,386,904,0.427,95,301,0.316,356,402,0.886,30,101,131,445,41,6,185,68,1223,1097,2.4,0.22
201942,9,DeMar DeRozan,1610612741,CHI,46,1666,435,848,0.513,22,68,0.324,322,362,0.89,22,204,226,228,47,22,92,125,1214,1192,2.48,0.51
1627759,9,Jaylen Brown,1610612738,BOS,45,1619,454,925,0.491,111,338,0.328,195,248,0.786,57,266,323,145,50,22,140,123,1214,1090,1.04,0.36
2544,11,LeBron James,1610612747,LAL,40,1453,465,918,0.507,88,282,0.312,191,248,0.77,48,292,340,282,39,24,124,64,1209,1260,2.27,0.32
1628378,12,Donovan Mitchell,1610612739,CLE,42,1504,404,839,0.482,156,394,0.396,206,237,0.869,39,124,163,201,62,15,119,106,1170,1026,1.69,0.52
1628374,13,Lauri Markkanen,1610612762,UTA,47,1609,394,758,0.52,146,338,0.432,234,269,0.87,82,322,404,83,30,29,84,95,1168,1231,0.99,0.36
201142,14,Kevin Durant,1610612751,BKN,39,1403,410,734,0.559,71,189,0.376,267,286,0.934,14,248,262,207,32,57,136,92,1158,1237,1.52,0.23
203081,15,Damian Lillard,1610612757,POR,38,1365,351,758,0.463,156,420,0.371,298,329,0.906,22,128,150,277,33,12,119,75,1156,1071,2.33,0.28
1629630,16,Ja Morant,1610612763,MEM,42,1371,407,876,0.465,70,220,0.318,261,348,0.75,47,193,240,346,42,12,148,72,1145,1081,2.34,0.28
1628368,17,De'Aaron Fox,1610612758,SAC,46,1546,417,827,0.504,73,222,0.329,202,257,0.786,19,179,198,279,45,15,118,113,1109,1063,2.36,0.38
1628973,18,Jalen Brunson,1610612752,NYK,48,1653,390,831,0.469,84,211,0.398,217,256,0.848,30,138,168,298,46,13,100,113,1081,1026,2.98,0.46
203999,19,Nikola Jokic,1610612743,DEN,43,1441,409,650,0.629,39,100,0.39,222,270,0.822,88,381,469,424,59,26,151,119,1079,1617,2.81,0.39
203897,20,Zach LaVine,1610612741,CHI,45,1608,376,815,0.461,129,345,0.374,190,226,0.841,27,182,209,186,45,7,110,98,1071,933,1.69,0.41
1628398,21,Kyle Kuzma,1610612764,WAS,49,1733,407,890,0.457,126,374,0.337,130,184,0.707,47,326,373,193,25,23,147,117,1070,1000,1.31,0.17
203903,22,Jordan Clarkson,1610612762,UTA,51,1657,384,853,0.45,135,386,0.35,163,198,0.823,58,144,202,217,29,11,150,100,1066,871,1.45,0.19
202681,23,Kyrie Irving,1610612751,BKN,39,1447,389,801,0.486,129,341,0.378,157,178,0.882,38,162,200,207,41,32,88,107,1064,1023,2.35,0.47
202711,24,Bojan Bogdanovic,1610612765,DET,49,1548,352,723,0.487,121,291,0.416,223,253,0.881,28,152,180,130,30,5,110,87,1048,882,1.18,0.27
1627783,24,Pascal Siakam,1610612761,TOR,42,1582,371,787,0.471,55,175,0.314,251,325,0.772,80,255,335,263,31,25,108,140,1048,1104,2.44,0.29
1630224,26,Jalen Green,1610612745,HOU,48,1660,351,853,0.411,120,363,0.331,220,282,0.78,28,171,199,176,35,10,141,81,1042,757,1.25,0.25
1629673,26,Jordan Poole,1610612744,GSW,50,1530,354,810,0.437,128,398,0.322,206,239,0.862,20,115,135,217,45,12,171,130,1042,791,1.27,0.26
201939,28,Stephen Curry,1610612744,GSW,35,1212,347,702,0.494,173,405,0.427,174,189,0.921,20,200,220,229,36,14,112,71,1041,1058,2.04,0.32
1629014,29,Anfernee Simons,1610612757,POR,48,1722,369,822,0.449,172,456,0.377,126,140,0.9,13,120,133,194,33,12,107,119,1036,834,1.81,0.31
203924,30,Jerami Grant,1610612757,POR,48,1718,351,720,0.488,116,275,0.422,204,256,0.797,45,162,207,114,42,39,86,114,1022,917,1.33,0.49
