PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1628983,1,Shai Gilgeous-Alexander,1610612760,OKC,36,1248,399,764,0.522,77,217,0.355,251,282,0.89,31,169,200,218,73,42,97,77,1126,1166,2.25,0.75
203999,2,Nikola Jokić,1610612743,DEN,31,1150,372,673,0.553,71,150,0.473,162,201,0.806,108,296,404,301,53,19,101,65,977,1313,2.98,0.53
1628369,3,Jayson Tatum,1610612738,BOS,34,1238,318,687,0.463,129,356,0.362,192,239,0.803,21,293,314,186,45,16,92,82,957,1010,2.02,0.49
1630162,4,Anthony Edwards,1610612750,MIN,37,1347,332,752,0.441,158,370,0.427,128,157,0.815,25,185,210,152,45,20,114,73,950,814,1.33,0.4
1628368,5,De'Aaron Fox,1610612758,SAC,35,1305,345,710,0.486,71,221,0.321,172,213,0.808,37,136,173,216,57,12,115,98,933,870,1.88,0.5
1628973,6,Jalen Brunson,1610612752,NYK,37,1296,316,663,0.477,85,220,0.386,208,254,0.819,17,93,110,281,31,2,86,83,925,870,3.27,0.36
203507,7,Giannis Antetokounmpo,1610612749,MIL,29,1015,360,601,0.599,4,21,0.19,185,308,0.601,59,283,342,179,22,42,102,68,909,1028,1.75,0.22
1626157,8,Karl-Anthony Towns,1610612752,NYK,35,1210,318,576,0.552,76,169,0.45,174,209,0.833,106,384,490,117,34,31,89,125,886,1176,1.31,0.38
203076,9,Anthony Davis,1610612747,LAL,34,1188,317,611,0.519,24,76,0.316,220,280,0.786,89,314,403,119,43,73,78,67,878,1084,1.53,0.55
1629639,10,Tyler Herro,1610612748,MIA,36,1273,293,626,0.468,138,343,0.402,124,143,0.867,11,191,202,181,27,4,86,55,848,824,2.1,0.31
1630595,11,Cade Cunningham,1610612765,DET,34,1210,310,678,0.457,83,221,0.376,122,154,0.792,32,192,224,316,32,27,146,94,825,878,2.16,0.22
1628991,12,Jaren Jackson Jr.,1610612763,MEM,36,1050,294,592,0.497,64,185,0.346,163,208,0.784,53,179,232,75,54,63,83,117,815,813,0.9,0.65
1629027,13,Trae Young,1610612737,ATL,36,1286,244,608,0.401,103,304,0.339,220,252,0.873,18,106,124,434,45,7,154,69,811,871,2.82,0.29
1641705,14,Victor Wembanyama,1610612759,SAS,32,1061,291,608,0.479,105,297,0.354,117,134,0.873,60,285,345,120,33,127,115,73,804,980,1.04,0.29
1628378,15,Donovan Mitchell,1610612739,CLE,35,1100,283,629,0.45,132,322,0.41,104,128,0.813,18,137,155,162,50,8,71,70,802,736,2.28,0.7
2544,16,LeBron James,1610612747,LAL,33,1152,302,596,0.507,73,189,0.386,110,143,0.769,29,224,253,292,25,18,121,46,787,927,2.41,0.21
1626164,17,Devin Booker,1610612756,PHX,31,1134,244,569,0.429,76,234,0.325,193,217,0.889,32,88,120,216,33,9,71,67,757,715,3.04,0.47
1630224,18,Jalen Green,1610612745,HOU,37,1214,266,635,0.419,100,298,0.336,124,144,0.861,21,145,166,94,38,12,86,63,756,591,1.09,0.44
1629636,19,Darius Garland,1610612739,CLE,36,1087,271,542,0.5,106,245,0.433,107,117,0.915,16,76,92,242,41,8,84,75,755,773,2.88,0.49
1627783,20,Pascal Siakam,1610612754,IND,38,1264,288,554,0.52,72,170,0.424,105,139,0.755,62,214,276,128,32,10,50,104,753,849,2.56,0.64
201935,21,James Harden,1610612746,LAC,35,1179,216,555,0.389,97,286,0.339,220,250,0.88,21,188,209,275,51,23,166,71,749,772,1.66,0.31
203897,22,Zach LaVine,1610612741,CHI,32,1076,270,527,0.512,104,234,0.444,103,126,0.817,8,139,147,143,27,9,93,52,747,700,1.54,0.29
1631114,23,Jalen Williams,1610612760,OKC,36,1173,293,611,0.48,64,183,0.35,95,123,0.772,31,177,208,189,65,25,82,93,745,804,2.31,0.79
1630178,24,Tyrese Maxey,1610612755,PHI,29,1081,255,606,0.421,94,278,0.338,136,164,0.829,5,91,96,164,61,12,70,66,740,624,2.34,0.87
202681,25,Kyrie Irving,1610612742,DAL,30,1068,269,549,0.49,93,211,0.441,98,109,0.899,31,106,137,147,36,11,68,66,729,701,2.16,0.53
202696,26,Nikola Vučević,1610612741,CHI,36,1157,296,535,0.553,73,172,0.424,62,74,0.838,81,282,363,117,28,24,57,85,727,951,2.05,0.49
203944,27,Julius Randle,1610612750,MIN,37,1220,249,523,0.476,63,176,0.358,165,200,0.825,73,186,259,161,24,8,110,93,726,759,1.46,0.22
1627759,28,Jaylen Brown,1610612738,BOS,30,1068,265,576,0.46,66,203,0.325,122,164,0.744,43,137,180,140,39,9,84,71,718,649,1.67,0.46
1630163,28,LaMelo Ball,1610612766,CHA,24,810,249,589,0.423,107,313,0.342,113,136,0.831,25,105,130,174,33,5,94,88,718,603,1.85,0.35
1630578,30,Alperen Sengun,1610612745,HOU,37,1165,284,575,0.494,12,55,0.218,135,185,0.73,126,263,389,186,45,33,93,104,715,934,2.0,0.48
1626181,31,Norman Powell,1610612746,LAC,30,990,243,508,0.478,107,245,0.437,119,141,0.844,10,92,102,69,36,5,65,60,712,572,1.06,0.55
201142,32,Kevin Durant,1610612756,PHX,26,937,250,481,0.52,60,149,0.403,147,175,0.84,12,153,165,105,18,35,86,44,707,685,1.22,0.21
1627734,33,Domantas Sabonis,1610612758,SAC,34,1221,276,466,0.592,36,81,0.444,112,144,0.778,130,339,469,214,25,17,98,121,700,1105,2.18,0.26
1628969,34,Mikal Bridges,1610612752,NYK,38,1486,289,581,0.497,89,260,0.342,31,44,0.705,35,90,125,120,42,19,59,54,698,640,2.03,0.71
1630169,34,Tyrese Haliburton,1610612754,IND,38,1329,238,540,0.441,114,316,0.361,108,127,0.85,26,114,140,338,47,23,67,51,698,858,5.04,0.7
203081,36,Damian Lillard,1610612749,MIL,28,1009,211,480,0.44,97,258,0.376,175,191,0.916,17,107,124,207,32,4,79,50,694,697,2.62,0.41
1629628,37,RJ Barrett,1610612761,TOR,30,1020,255,547,0.466,57,166,0.343,126,177,0.712,31,171,202,179,22,12,98,73,693,667,1.83,0.22
1629008,38,Michael Porter Jr.,1610612743,DEN,36,1242,261,498,0.524,96,227,0.423,67,94,0.713,54,186,240,93,24,14,51,73,685,741,1.82,0.47
