PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
203954,1,Joel Embiid,1610612755,PHI,53,35.1,11.1,20.5,0.539,1.1,3.0,0.36,10.2,11.9,0.854,1.8,8.3,10.1,4.1,1.1,1.6,3.5,33.4,35.6
1629029,2,Luka Doncic,1610612742,DAL,57,36.3,11.0,22.1,0.5,2.8,7.9,0.349,8.1,11.0,0.736,0.8,7.8,8.6,8.0,1.5,0.5,3.7,33.0,34.0
203081,3,Damian Lillard,1610612757,POR,54,36.3,9.6,20.7,0.466,4.2,11.3,0.373,8.6,9.4,0.919,0.7,3.9,4.7,7.3,0.9,0.3,3.2,32.1,30.2
203507,4,Giannis Antetokounmpo,1610612749,MIL,52,32.5,11.0,20.5,0.539,0.8,2.9,0.28,8.3,12.7,0.654,2.3,9.7,11.9,5.5,0.7,0.8,3.9,31.2,32.3
1628983,5,Shai Gilgeous-Alexander,1610612760,OKC,56,35.6,10.3,20.2,0.51,0.9,2.6,0.342,9.7,10.7,0.906,0.9,3.9,4.8,5.7,1.7,1.1,2.9,31.2,30.5
1628369,6,Jayson Tatum,1610612738,BOS,62,37.4,9.9,21.4,0.463,3.3,9.4,0.355,7.2,8.4,0.859,1.1,7.7,8.8,4.7,1.0,0.8,3.0,30.3,30.0
2544,7,LeBron James,1610612747,LAL,47,36.1,11.3,22.6,0.501,2.1,6.9,0.308,4.8,6.3,0.759,1.2,7.2,8.4,6.9,0.9,0.6,3.1,29.5,30.5
1628378,8,Donovan Mitchell,1610612739,CLE,58,35.6,9.7,20.4,0.478,3.7,9.5,0.387,4.6,5.2,0.874,0.9,3.2,4.1,4.7,1.5,0.4,2.7,27.7,24.4
202681,9,Kyrie Irving,1610612742,DAL,51,37.1,9.9,20.2,0.491,3.3,8.5,0.382,4.1,4.6,0.897,1.0,4.1,5.1,5.6,1.1,0.7,2.3,27.2,26.6
1629630,10,Ja Morant,1610612763,MEM,53,32.5,9.6,20.6,0.463,1.6,5.1,0.316,6.4,8.5,0.744,1.1,4.8,6.0,8.2,1.1,0.2,3.4,27.1,26.0
1629027,11,Trae Young,1610612737,ATL,60,35.0,8.4,19.5,0.432,2.2,6.6,0.336,7.6,8.6,0.887,0.8,2.2,3.0,10.1,1.2,0.2,4.1,26.7,24.9
1627759,12,Jaylen Brown,1610612738,BOS,55,36.1,9.9,20.3,0.485,2.4,7.3,0.333,4.2,5.4,0.774,1.2,5.7,7.0,3.3,1.2,0.5,3.0,26.4,23.5
1628368,13,De'Aaron Fox,1610612758,SAC,58,34.1,9.5,18.4,0.515,1.5,4.7,0.325,5.0,6.3,0.785,0.5,3.7,4.2,6.3,1.2,0.3,2.7,25.5,24.6
1628374,14,Lauri Markkanen,1610612762,UTA,60,34.4,8.6,16.8,0.512,3.0,7.5,0.406,5.2,5.9,0.871,1.9,6.6,8.5,1.8,0.6,0.6,2.0,25.4,26.0
203944,15,Julius Randle,1610612752,NYK,68,36.0,8.6,18.5,0.463,2.9,8.3,0.349,5.2,6.9,0.753,2.0,8.4,10.4,4.1,0.7,0.3,2.9,25.2,26.2
201942,16,DeMar DeRozan,1610612741,CHI,60,36.2,9.1,17.7,0.51,0.5,1.6,0.305,6.3,7.3,0.872,0.5,4.1,4.5,5.1,1.0,0.5,2.2,24.9,24.2
1630162,17,Anthony Edwards,1610612750,MIN,68,36.4,9.0,19.6,0.459,2.7,7.4,0.368,4.1,5.3,0.774,0.6,5.3,5.9,4.4,1.7,0.7,3.4,24.8,22.3
203897,18,Zach LaVine,1610612741,CHI,62,35.9,8.6,17.9,0.48,2.8,7.3,0.384,4.8,5.6,0.845,0.5,4.2,4.7,4.0,1.0,0.2,2.6,24.7,21.8
203999,19,Nikola Jokic,1610612743,DEN,59,33.7,9.3,14.8,0.629,0.9,2.2,0.411,5.0,6.1,0.816,2.3,9.5,11.8,10.0,1.2,0.6,3.6,24.5,37.9
1627783,20,Pascal Siakam,1610612761,TOR,58,37.5,8.8,18.7,0.473,1.4,4.1,0.343,5.4,6.9,0.772,1.8,5.7,7.6,5.9,0.9,0.6,2.5,24.4,25.3
1628973,21,Jalen Brunson,1610612752,NYK,62,34.9,8.5,17.4,0.487,1.9,4.7,0.414,4.9,5.9,0.833,0.6,3.0,3.6,6.1,0.9,0.2,2.0,23.8,22.7
202331,22,Paul George,1610612746,LAC,51,34.4,8.1,17.6,0.459,2.9,7.7,0.376,4.7,5.3,0.881,0.8,5.4,6.1,5.2,1.4,0.3,3.2,23.7,23.4
204001,23,Kristaps Porzingis,1610612764,WAS,57,32.9,7.7,15.5,0.495,2.2,5.6,0.388,5.7,6.7,0.843,1.9,6.7,8.5,2.6,0.8,1.5,2.2,23.2,25.6
202710,24,Jimmy Butler,1610612748,MIA,53,33.3,7.3,13.8,0.527,0.5,1.6,0.337,7.2,8.5,0.848,2.3,3.7,6.1,5.1,1.9,0.3,1.7,22.3,26.2
202691,25,Klay Thompson,1610612744,GSW,55,32.7,7.9,18.3,0.432,4.3,10.6,0.407,1.9,2.1,0.895,0.7,3.4,4.1,2.5,0.7,0.3,1.8,22.0,17.2
1629636,26,Darius Garland,1610612739,CLE,58,35.2,7.6,16.1,0.471,2.6,6.1,0.43,4.1,4.8,0.86,0.4,2.2,2.7,7.9,1.3,0.1,2.9,22.0,21.9
