PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
203954,1,Joel Embiid,1610612755,PHI,66,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,33.1,35.9
1629029,2,Luka Doncic,1610612742,DAL,65,36.6,11.0,22.1,0.497,2.8,8.2,0.345,7.8,10.6,0.742,0.8,7.8,8.7,8.1,1.4,0.5,3.6,32.7,33.9
203081,3,Damian Lillard,1610612757,POR,58,36.3,9.6,20.7,0.463,4.2,11.3,0.371,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,32.2,30.2
1628983,4,Shai Gilgeous-Alexander,1610612760,OKC,68,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,31.4,30.5
203507,5,Giannis Antetokounmpo,1610612749,MIL,63,32.1,11.2,20.3,0.553,0.7,2.7,0.275,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,31.1,32.9
1628369,6,Jayson Tatum,1610612738,BOS,73,37.2,9.9,21.2,0.465,3.3,9.3,0.352,7.2,8.4,0.855,1.1,7.8,8.8,4.6,1.1,0.7,2.9,30.2,30.0
1628378,7,Donovan Mitchell,1610612739,CLE,68,35.8,10.0,20.6,0.484,3.6,9.3,0.386,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,28.3,24.8
202681,8,Kyrie Irving,1610612742,DAL,60,37.4,9.9,20.1,0.494,3.1,8.3,0.379,4.1,4.6,0.905,1.0,4.1,5.1,5.5,1.1,0.8,2.1,27.1,26.8
1627759,9,Jaylen Brown,1610612738,BOS,67,35.9,10.1,20.6,0.491,2.4,7.3,0.335,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,26.6,23.8
1629630,10,Ja Morant,1610612763,MEM,60,32.1,9.4,20.1,0.465,1.5,5.0,0.308,6.2,8.2,0.752,1.0,4.8,5.9,8.1,1.1,0.3,3.4,26.4,25.6
1629027,11,Trae Young,1610612737,ATL,72,34.7,8.2,19.1,0.429,2.1,6.3,0.337,7.7,8.7,0.886,0.8,2.2,3.0,10.0,1.1,0.1,4.0,26.2,24.4
1628374,12,Lauri Markkanen,1610612762,UTA,66,34.4,8.7,17.3,0.499,3.0,7.7,0.391,5.3,6.0,0.875,2.0,6.7,8.6,1.9,0.6,0.6,1.9,25.6,26.0
1628368,13,De'Aaron Fox,1610612758,SAC,72,33.6,9.4,18.3,0.512,1.6,5.1,0.324,4.8,6.1,0.78,0.5,3.7,4.2,6.2,1.2,0.3,2.5,25.2,24.2
203944,14,Julius Randle,1610612752,NYK,77,35.5,8.5,18.6,0.459,2.8,8.3,0.343,5.2,6.9,0.757,1.8,8.1,10.0,4.1,0.6,0.3,2.8,25.1,25.6
203897,15,Zach LaVine,1610612741,CHI,76,36.1,8.8,18.1,0.486,2.7,7.1,0.377,4.7,5.6,0.847,0.6,3.9,4.5,4.3,0.9,0.2,2.5,24.9,22.2
203999,16,Nikola Jokic,1610612743,DEN,68,33.8,9.5,15.0,0.633,0.8,2.2,0.385,5.0,6.1,0.821,2.5,9.4,11.9,9.8,1.3,0.7,3.6,24.8,38.3
201942,17,DeMar DeRozan,1610612741,CHI,73,36.4,8.9,17.6,0.505,0.6,1.9,0.326,6.2,7.2,0.872,0.5,4.2,4.7,5.1,1.1,0.5,2.1,24.7,24.3
1630162,18,Anthony Edwards,1610612750,MIN,77,36.1,8.9,19.4,0.459,2.7,7.3,0.368,4.0,5.3,0.763,0.5,5.2,5.7,4.5,1.5,0.7,3.3,24.5,21.9
1627783,19,Pascal Siakam,1610612761,TOR,70,37.5,8.9,18.5,0.479,1.3,4.1,0.324,5.2,6.7,0.773,1.9,6.0,7.9,5.9,0.9,0.5,2.4,24.3,25.9
1628973,20,Jalen Brunson,1610612752,NYK,68,35.0,8.6,17.6,0.491,2.0,4.7,0.416,4.8,5.8,0.829,0.6,3.0,3.5,6.2,0.9,0.2,2.1,24.0,22.9
202331,21,Paul George,1610612746,LAC,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,23.8,23.3
204001,22,Kristaps Porzingis,1610612764,WAS,65,32.6,7.8,15.7,0.498,2.1,5.5,0.385,5.4,6.4,0.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,23.2,25.7
202710,23,Jimmy Butler,1610612748,MIA,64,33.4,7.5,13.9,0.539,0.6,1.6,0.35,7.4,8.7,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,22.9,27.0
1630224,24,Jalen Green,1610612745,HOU,74,34.3,7.5,17.9,0.416,2.5,7.3,0.337,4.8,6.1,0.788,0.6,3.2,3.8,3.7,0.8,0.2,2.7,22.2,16.2
1629640,25,Keldon Johnson,1610612759,SAS,63,32.7,8.0,17.7,0.452,2.1,6.5,0.329,3.9,5.2,0.749,0.9,4.2,5.0,2.9,0.7,0.2,2.1,22.0,17.7
202691,26,Klay Thompson,1610612744,GSW,67,33.2,7.9,18.2,0.433,4.3,10.6,0.407,1.7,1.9,0.877,0.6,3.6,4.2,2.4,0.7,0.4,1.8,21.8,17.2
1630217,27,Desmond Bane,1610612763,MEM,57,31.8,7.8,16.3,0.479,2.8,7.0,0.407,3.2,3.6,0.883,0.8,4.2,5.0,4.4,1.0,0.4,2.2,21.6,21.2
