PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1628983,1,Shai Gilgeous-Alexander,1610612760,OKC,55,34.1,11.2,21.5,0.522,2.1,5.7,0.36,7.9,8.8,0.895,0.9,4.2,5.1,6.1,1.9,1.1,2.6,32.3,32.8
203507,2,Giannis Antetokounmpo,1610612749,MIL,44,34.2,12.5,20.4,0.61,0.2,0.8,0.194,6.0,10.4,0.577,2.3,9.8,12.0,5.8,0.8,1.3,3.5,31.0,35.1
203999,3,Nikola Jokić,1610612743,DEN,51,36.0,11.2,19.5,0.574,2.1,4.6,0.447,5.0,6.1,0.821,3.0,9.6,12.7,10.2,1.8,0.6,3.2,29.4,42.2
1630162,4,Anthony Edwards,1610612750,MIN,56,36.8,9.2,21.0,0.438,4.2,10.3,0.409,5.1,6.0,0.84,0.8,5.1,5.9,4.5,1.2,0.6,3.5,27.7,23.6
1630178,5,Tyrese Maxey,1610612755,PHI,48,38.0,9.5,21.3,0.448,3.3,9.5,0.348,5.0,5.7,0.876,0.3,3.2,3.5,6.1,1.8,0.4,2.5,27.4,24.3
201142,6,Kevin Durant,1610612756,PHX,44,36.6,9.8,18.4,0.532,2.3,5.8,0.401,5.0,6.1,0.824,0.4,5.6,6.0,4.2,0.9,1.4,3.0,26.9,26.7
1628369,7,Jayson Tatum,1610612738,BOS,54,36.4,9.0,20.0,0.453,3.6,10.1,0.356,5.1,6.4,0.8,0.6,8.2,8.8,5.7,1.1,0.5,2.8,26.8,28.0
1626164,8,Devin Booker,1610612756,PHX,51,37.3,8.6,18.9,0.452,2.6,7.7,0.343,6.4,7.1,0.895,0.9,3.1,4.0,6.7,1.1,0.3,2.7,26.1,24.5
1628973,9,Jalen Brunson,1610612752,NYK,56,35.2,9.0,18.4,0.491,2.3,5.9,0.395,5.6,6.8,0.82,0.4,2.4,2.9,7.4,0.9,0.1,2.5,26.0,24.2
203076,10,Anthony Davis,1610612742,DAL,43,34.2,9.5,18.0,0.528,0.7,2.2,0.313,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,25.7,32.3
1630595,11,Cade Cunningham,1610612765,DET,52,35.5,9.6,20.8,0.461,2.3,6.4,0.363,4.2,4.9,0.85,0.8,5.4,6.3,9.5,1.0,0.8,4.4,25.7,26.8
203081,12,Damian Lillard,1610612749,MIL,46,36.4,7.8,17.5,0.449,3.5,9.2,0.38,6.4,7.0,0.919,0.6,4.2,4.7,7.5,1.2,0.2,2.9,25.6,26.0
1626157,13,Karl-Anthony Towns,1610612752,NYK,52,35.1,9.0,16.9,0.532,2.1,4.8,0.432,4.8,5.7,0.837,3.1,10.4,13.5,3.2,1.0,0.8,2.6,24.8,31.9
202681,14,Kyrie Irving,1610612742,DAL,46,36.5,9.0,18.8,0.476,2.9,7.2,0.409,3.8,4.2,0.907,1.2,3.6,4.7,4.7,1.3,0.4,2.2,24.7,23.4
2544,15,LeBron James,1610612747,LAL,51,34.6,9.5,18.3,0.518,2.3,5.8,0.395,3.5,4.5,0.769,0.9,6.9,7.7,8.8,0.9,0.6,3.9,24.7,29.0
1628368,16,De'Aaron Fox,1610612759,SAS,53,36.7,9.0,19.2,0.469,2.0,6.2,0.32,4.5,5.5,0.823,0.9,4.0,5.0,6.3,1.5,0.4,2.9,24.5,23.7
1641705,17,Victor Wembanyama,1610612759,SAS,46,33.2,8.9,18.6,0.476,3.1,8.8,0.352,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,24.3,30.2
1629639,18,Tyler Herro,1610612748,MIA,53,35.7,8.4,18.0,0.466,3.7,9.8,0.378,3.8,4.4,0.861,0.4,5.2,5.5,5.6,0.8,0.1,2.7,24.2,23.4
1629027,19,Trae Young,1610612737,ATL,53,36.3,7.5,18.3,0.409,3.0,8.9,0.338,6.3,7.3,0.853,0.5,2.6,3.1,11.4,1.2,0.2,4.9,24.2,23.4
1626181,20,Norman Powell,1610612746,LAC,45,33.6,8.4,17.0,0.496,3.4,7.8,0.428,4.0,4.9,0.819,0.4,3.2,3.6,2.2,1.3,0.2,2.1,24.2,20.0
